,GPS,camera,image,exchange,calendar,contact,synchronize,search,screen,lock,message,voicedialing,bluetooth,audio,system,browser,network,signal,display,app,email,setting,calling,wifi,keyboard,car,SD_card,alarm,text,android_market,UI,battery,upgrade,dialing,ringtone,volume,notification,vibrate,video,time,swype,input,multimedia_dock,headset,gtalk,USB,touchscreen,voice_dialing,google_wave,download,youtube,upload,VPN,calculator,monkey,flash,CPU
image,0.0449438202247191,0.01282051282051282,0.10344827586206896,0.0,0.009345794392523364,0.02608695652173913,0.0,0.0,0.01834862385321101,0.011627906976744186,0.008695652173913044,0.0,0.021739130434782608,0.02097902097902098,0.00980392156862745,0.045454545454545456,0.011363636363636364,0.0,0.05785123966942149,0.04225352112676056,0.05755395683453238,0.02247191011235955,0.01020408163265306,0.0,0.023255813953488372,0.02857142857142857,0.0,0.014925373134328358,0.0,0.010869565217391304,0.03571428571428571,0.0,0.035398230088495575,0.025,0.014285714285714285,0.015384615384615385,0.011764705882352941,0.0,0.012987012987012988,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,
email,0.015625,0.02,0.014925373134328358,0.046511627906976744,0.02564102564102564,0.0,0.014705882352941176,0.02127659574468085,0.0375,0.03508771929824561,0.03529411764705882,0.0,0.0,0.017241379310344827,0.013513513513513514,0.009174311926605505,0.03389830508474576,0.0,0.010101010101010102,0.05263157894736842,0.08181818181818182,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.017543859649122806,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.02564102564102564,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,
wifi,0.0136986301369863,0.034482758620689655,0.02666666666666667,0.0,0.0,0.01020408163265306,0.0,0.0,0.022222222222222223,0.030303030303030304,0.010416666666666666,0.0,0.041666666666666664,0.016,0.037037037037037035,0.02586206896551724,0.14754098360655737,0.13043478260869565,0.009259259259259259,0.04032258064516129,0.015873015873015872,0.02857142857142857,0.0,0.06896551724137931,0.029850746268656716,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.031578947368421054,0.016129032258064516,0.0196078431372549,0.0,0.015151515151515152,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
keyboard,0.02127659574468085,0.012345679012345678,0.03125,0.0,0.01834862385321101,0.025423728813559324,0.010101010101010102,0.01282051282051282,0.05555555555555555,0.0,0.02586206896551724,0.0,0.010416666666666666,0.02054794520547945,0.019230769230769232,0.044444444444444446,0.0,0.0,0.07377049180327869,0.027210884353741496,0.034482758620689655,0.021739130434782608,0.030303030303030304,0.012048192771084338,0.0963855421686747,0.013513513513513514,0.0,0.0,0.02631578947368421,0.03225806451612903,0.034482758620689655,0.012658227848101266,0.01694915254237288,0.036585365853658534,0.0136986301369863,0.0,0.0,0.028169014084507043,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,
setting,0.00819672131147541,0.018691588785046728,0.024390243902439025,0.0,0.014705882352941176,0.027777777777777776,0.007936507936507936,0.009523809523809525,0.05223880597014925,0.008620689655172414,0.050359712230215826,0.0,0.024793388429752067,0.05389221556886228,0.015267175572519083,0.05,0.05309734513274336,0.0,0.039473684210526314,0.04093567251461988,0.047337278106508875,0.025423728813559324,0.023809523809523808,0.00909090909090909,0.02608695652173913,0.0,0.019417475728155338,0.0,0.009615384615384616,0.0423728813559322,0.044642857142857144,0.0,0.072992700729927,0.01818181818181818,0.01,0.0,0.008695652173913044,0.0,0.018867924528301886,0.01,0.0,0.00980392156862745,0.0,0.009345794392523364,0.0,0.010309278350515464,0.0,0.0,0.0,0.010526315789473684,0.010638297872340425,0.0,0.010869565217391304,0.0,0.0,0.010752688172043012,0.0,
UI,0.0,0.0,0.021052631578947368,0.0,0.018691588785046728,0.02586206896551724,0.010309278350515464,0.11594202898550725,0.06666666666666667,0.011494252873563218,0.02631578947368421,0.015384615384615385,0.03260869565217391,0.05755395683453238,0.0,0.022058823529411766,0.0,0.0,0.023809523809523808,0.08759124087591241,0.03496503496503497,0.033707865168539325,0.030927835051546393,0.012345679012345678,0.022988505747126436,0.0,0.013333333333333334,0.0,0.013333333333333334,0.010752688172043012,0.011494252873563218,0.0,0.017241379310344827,0.0,0.0,0.0,0.023529411764705882,0.028985507246376812,0.0,0.014084507042253521,0.0,0.0,0.0,0.039473684210526314,0.02857142857142857,0.0,0.014705882352941176,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,
sms,0.0,0.0,0.02127659574468085,0.028169014084507043,0.02857142857142857,0.008547008547008548,0.021052631578947368,0.013333333333333334,0.037383177570093455,0.023529411764705882,0.13725490196078433,0.0,0.021739130434782608,0.02097902097902098,0.03,0.014705882352941176,0.011363636363636364,0.0,0.03225806451612903,0.020689655172413793,0.08888888888888889,0.04597701149425287,0.01020408163265306,0.02531645569620253,0.03529411764705882,0.0,0.0,0.014925373134328358,0.0273972602739726,0.0,0.023529411764705882,0.02666666666666667,0.035398230088495575,0.0,0.0,0.0,0.03614457831325301,0.0,0.012987012987012988,0.014285714285714285,0.0,0.0,0.014925373134328358,0.0,0.028985507246376812,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
bluetooth,0.05319148936170213,0.0,0.009900990099009901,0.0,0.02702702702702703,0.024793388429752067,0.019801980198019802,0.025,0.0,0.0,0.016666666666666666,0.028985507246376812,0.1111111111111111,0.08571428571428572,0.018691588785046728,0.02127659574468085,0.010638297872340425,0.013157894736842105,0.046875,0.02666666666666667,0.026845637583892617,0.021052631578947368,0.05,0.0,0.010752688172043012,0.0,0.05194805194805195,0.0,0.02531645569620253,0.042105263157894736,0.02197802197802198,0.024691358024691357,0.05128205128205128,0.011494252873563218,0.0,0.014084507042253521,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0136986301369863,0.06329113924050633,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
display,0.041237113402061855,0.03571428571428571,0.009708737864077669,0.0,0.008695652173913044,0.008,0.009615384615384616,0.024390243902439025,0.043859649122807015,0.010638297872340425,0.0,0.0,0.02,0.013157894736842105,0.01834862385321101,0.06569343065693431,0.010416666666666666,0.01282051282051282,0.046153846153846156,0.061224489795918366,0.026490066225165563,0.020618556701030927,0.009433962264150943,0.03488372093023256,0.02127659574468085,0.0,0.024691358024691357,0.013333333333333334,0.012195121951219513,0.052083333333333336,0.021505376344086023,0.024096385542168676,0.016260162601626018,0.011235955056179775,0.0,0.0136986301369863,0.021739130434782608,0.012987012987012988,0.0,0.01282051282051282,0.0,0.0125,0.0,0.011764705882352941,0.01282051282051282,0.0,0.02702702702702703,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.028169014084507043,0.014285714285714285,0.0,0.014492753623188406,
browser,0.01818181818181818,0.010309278350515464,0.036036036036036036,0.0,0.016,0.03007518796992481,0.0,0.0,0.08333333333333333,0.019230769230769232,0.0546875,0.0,0.03669724770642202,0.03773584905660377,0.0,0.07534246575342465,0.02857142857142857,0.011235955056179775,0.05,0.050314465408805034,0.012195121951219513,0.03773584905660377,0.0,0.02040816326530612,0.009433962264150943,0.0,0.010752688172043012,0.011627906976744186,0.03296703296703297,0.037037037037037035,0.02912621359223301,0.03225806451612903,0.030303030303030304,0.01,0.022727272727272728,0.011904761904761904,0.029411764705882353,0.011363636363636364,0.05434782608695652,0.022727272727272728,0.0,0.01098901098901099,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.012048192771084338,0.0,0.0,0.012048192771084338,0.0,0.0,0.0,
