,calling,browser,setting,gtalk,null,wifi,calendar,android_market,input,camera,image,email,wifi,keyboard,setting,UI,sms,bluetooth,display,browser,contact,multimedia,system,null,notification,email,alarm,null,audio,system
2010-11,0.013735626554265551,0.05668519470691229,0.016586014169291532,0.07152951965608602,0.00426373163922774,0.016662435327831026,0.014388285408236754,0.0078097450266184565,0.017300778679618073,0.054359669794866596,0.09432808792785823,0.03751130609787275,0.026543999066380487,0.039782842022880974,0.09266495445571211,0.011594474571348892,0.051219008102685815,0.07386130345678889,3.088249140985911E-4,0.01391358158754698,0.023634654962307582,0.032591933968178666,0.03306611937242225,7.010586962280383E-4,0.006240917088851129,0.038509622709036635,0.07564684410804798,0.029161496311000037,0.015345402651793445,0.030052566966006503,
2010-12,0.02210442020839165,0.008092894823549399,0.02031812359982661,0.03148642803287034,0.001361930379599866,0.0012747523478620676,0.09796950172872475,0.018245543013236613,0.01383132041481897,0.007704976384704478,0.11586120033257173,0.003625041241021181,0.0070944059057630356,0.05002479529326572,0.09998240091341457,0.04765144962603232,0.06296930398603372,0.02307108536933117,0.020325262843968742,0.008605161820561704,0.08085572282846064,0.006752338943963584,0.03775435932720746,4.9298709059238314E-5,0.033964982514842645,0.09502167441330749,0.06112174296145579,0.008006805860677826,0.013305869398720974,0.0015672067767556694,
2010-10,2.550410944281559E-4,0.011844098701568379,3.64385722254487E-4,0.04138382604975125,1.93640798553718E-4,7.36344439201062E-5,0.035487216537938716,0.061458365160523436,0.05474225394158104,0.012680098576267226,0.04993840175489822,0.03599316362429085,0.03134051676724361,0.032732753534500024,0.007303881624625843,0.07160661480539876,0.01751497940181448,0.0686510984058655,0.020788975441792198,6.79727580579864E-5,0.018667326885400404,0.05691628038004643,0.06615547692584857,0.0717608075228332,0.0021108833698034947,0.13064649735207748,1.7546475282696644E-4,0.02148544887572479,0.07744294395196656,2.1795083819808235E-4,
2009-09,7.896372105822608E-5,8.831388429959371E-5,1.321173974207389E-4,1.001598170776177E-4,3.874021883527324E-4,5.06460064856878E-5,1.0232870084923779E-4,1.0656492437498743E-4,8.754620131282667E-5,0.28853923669179715,2.844744824621577E-5,3.7003880316358755E-4,0.08721518196841246,0.037164718576316765,1.2864141884926523E-4,1.6956623947693176E-4,3.425381228874893E-4,0.1369067218803359,0.04394074441033246,2.1313160922711816E-5,1.2954120966871108E-5,4.948547244452191E-4,1.573524831649249E-4,0.032389709363138584,9.22615410599446E-5,3.3240172537577094E-5,0.04722207423910503,1.2362305189208208E-4,0.10627627767426098,0.2172364610674561,
2009-06,0.010800570634417497,2.7383578519495898E-5,1.3418833534170241E-4,0.046096551724648833,2.115740022854688E-4,1.2655824715969102E-4,7.638159671796432E-5,4.8614884175262464E-5,1.5756274149028725E-4,1.0562562294932996E-4,2.1488934003097328E-4,7.025704598423733E-5,2.5387837399605057E-4,2.069995984632998E-5,0.0490755703895603,8.178336345195524E-4,1.1345314073227098E-4,0.5999660745297728,1.524190365647704E-4,1.1498727417533397E-4,0.028890400068568398,1.1890521817718877E-4,1.3824761805715757E-4,1.8474680286664853E-5,0.15148471512719505,0.0012035068775646065,0.001276672069455306,8.310734228342555E-5,0.10811724242195,8.36544835738137E-5,
2011-09,0.004644227202588729,0.01989847569108866,0.030213492707724752,0.026967495857994846,0.001980812748025592,0.02193350367076987,6.895754685814898E-4,0.11016325278023771,0.02884726700483931,0.0024467130230366087,0.011827736253687179,0.022075778334244033,0.021249136227529768,0.0071718422373335585,0.017381226611436526,0.039390041912758376,0.09573583137504332,2.72780847522915E-4,0.10647737951355059,0.11423394284077462,0.036403999314713956,0.033066596825111066,0.03196330278240066,0.0347703280490508,0.06280975077539828,0.04694212028641542,0.010282095983940828,0.02300041022857337,0.032834206937615504,0.004326676508011705,
2011-08,0.007237251922740144,0.02135616244932238,0.007324514951014876,0.023221795874961194,0.0035477748124114884,0.09892174051505095,0.04578260788968263,0.09656401065509602,0.06505361374602896,0.018128782896028782,0.019300661605548334,0.0028346297061863364,0.018087688984525126,0.05347030290638683,0.020895975031118664,0.03548548769438912,0.018304964953251374,0.011974080216163535,0.09465373709952257,0.1257076064502536,0.025010578826805508,0.020923362466342476,0.004829066911042149,0.034635486203059486,0.00874243896482841,0.008777836021874803,0.07728058993780493,0.023782693744094616,1.5559820989880207E-4,0.008008958354565903,
2011-07,0.00979021837760433,0.03018809986511078,0.030423258777742504,0.028510666786965424,0.041431962709552766,0.04912894275040151,0.010463487122798145,0.05633335403909909,0.04334070103064394,3.9147966370787715E-4,0.02869705712764846,0.02453594838887459,0.028923058700281935,0.044007140976310026,0.059512289181149224,0.03212718491926308,0.035650497702224906,0.027822965564892197,0.05196603321370407,0.12502770981666325,0.020826443594151003,0.02046832384354998,0.02061458077448029,0.028911368420946743,0.012575200380255095,0.014935997648137418,0.03232460085519052,0.023043459700181457,0.02528578241847194,0.02190885231666413,
2011-06,0.015539878955131578,0.004455226347393844,0.026518090388549173,0.04600826038876088,0.004111074227649694,0.026893129129318398,0.007248839423333174,0.050359227105144504,0.04380655547815496,0.01721737153327514,0.056751786013246944,0.04382490285425181,0.014178486378664291,0.009924950512353932,0.09054689258846405,0.03727062441441166,0.028229723273624403,0.09274214988689905,0.10700194133791815,0.08260658354968861,0.01781095808915759,0.025210074229730164,0.019819189500267162,0.0026948630865921753,0.014003305060413716,0.049982222057919155,0.03401062983334988,0.014374778861509252,0.005675692578620384,0.011182592916206248,
2011-05,0.007886541424555055,0.04141537065365941,0.015082411935041536,0.005422176571307223,0.006455364237173915,0.024190620130069267,0.036203351923054725,0.051143203523413665,0.07559247264752098,0.04388816640863624,0.031850256548129424,0.025938871398669756,0.03375600858546013,0.04061332685663782,0.05972609026227124,0.021752088387408268,0.03736747189268089,0.010026613171055038,0.09244547150072537,0.12271319165319906,0.013477367856949769,0.013677941946346531,0.041788040616788855,6.314313278120427E-5,0.021546658809811808,0.020599039264643425,0.012615675549208972,0.057171379098244865,0.01769641770924734,0.017895266305308324,
