,GPS,camera,image,exchange,calendar,contact,synchronize,search,screen,lock,message,voicedialing,bluetooth,audio,system,browser,network,signal,display,app,email,setting,calling,wifi,keyboard,car,SD_card,alarm,text,android_market,UI,battery,upgrade,dialing,ringtone,volume,notification,vibrate,video,time,swype,input,multimedia_dock,headset,gtalk,USB,touchscreen,voice_dialing,google_wave,download,youtube,upload,VPN,calculator,monkey,flash,CPU
wifi,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,2.0,3.0,3.0,9.0,6.0,1.0,5.0,2.0,2.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
keyboard,2.0,1.0,3.0,0.0,2.0,3.0,1.0,1.0,6.0,0.0,3.0,0.0,1.0,3.0,2.0,6.0,0.0,0.0,9.0,4.0,5.0,2.0,3.0,1.0,8.0,1.0,0.0,0.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
setting,1.0,2.0,3.0,0.0,2.0,4.0,1.0,1.0,7.0,1.0,7.0,0.0,3.0,9.0,2.0,8.0,6.0,0.0,6.0,7.0,8.0,3.0,3.0,1.0,3.0,0.0,2.0,0.0,1.0,5.0,5.0,0.0,10.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,
UI,0.0,0.0,2.0,0.0,2.0,3.0,1.0,8.0,7.0,1.0,3.0,1.0,3.0,8.0,0.0,3.0,0.0,0.0,3.0,12.0,5.0,3.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
sms,0.0,0.0,2.0,2.0,3.0,1.0,2.0,1.0,4.0,2.0,14.0,0.0,2.0,3.0,3.0,2.0,1.0,0.0,4.0,3.0,12.0,4.0,1.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
bluetooth,5.0,0.0,1.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,10.0,12.0,2.0,3.0,1.0,1.0,6.0,4.0,4.0,2.0,5.0,0.0,1.0,0.0,4.0,0.0,2.0,4.0,2.0,2.0,6.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
display,4.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,5.0,1.0,0.0,0.0,2.0,2.0,2.0,9.0,1.0,1.0,6.0,9.0,4.0,2.0,1.0,3.0,2.0,0.0,2.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,
browser,2.0,1.0,4.0,0.0,2.0,4.0,0.0,0.0,10.0,2.0,7.0,0.0,4.0,6.0,0.0,11.0,3.0,1.0,7.0,8.0,2.0,4.0,0.0,2.0,1.0,0.0,1.0,1.0,3.0,4.0,3.0,3.0,4.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,
contact,3.0,0.0,2.0,0.0,1.0,24.0,8.0,1.0,1.0,0.0,7.0,1.0,1.0,3.0,1.0,6.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
multimedia,2.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,10.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
system,1.0,0.0,4.0,2.0,4.0,4.0,4.0,0.0,2.0,3.0,6.0,0.0,2.0,6.0,7.0,8.0,1.0,0.0,2.0,3.0,5.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,3.0,8.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
null,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
notification,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,5.0,2.0,1.0,2.0,0.0,1.0,5.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,5.0,6.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
email,1.0,0.0,1.0,8.0,4.0,3.0,9.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,5.0,6.0,34.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,
alarm,2.0,0.0,0.0,1.0,8.0,2.0,3.0,1.0,9.0,5.0,2.0,0.0,0.0,4.0,6.0,5.0,0.0,0.0,4.0,4.0,2.0,1.0,6.0,0.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
null,1.0,0.0,0.0,1.0,3.0,0.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,6.0,3.0,9.0,2.0,0.0,5.0,4.0,4.0,4.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
audio,1.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,3.0,0.0,8.0,18.0,4.0,3.0,1.0,1.0,2.0,5.0,2.0,3.0,10.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
system,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
