Topic 00		1224.125464510029
	message	117.85966132468403
	thread	77.55847512361203
	update	52.933216383489054
	deleted	40.960542717984204
	messages	40.024223179858595
	delete	38.74224848621111
	text	36.06303455922961
	latest	27.947515746107356
	read	24.754142912158486
	view	19.8688766612091
	oldest	15.882336687306344
	legend	15.7923649236952
	2.1	15.29726844894753
	longer	13.873851338227219
	deleting	13.698202477673586
	2.2	13.698163063705497
	scroll	12.974113852370067
	screen	12.931119372608297
	threads	12.599573157594815
	old	11.654826619233098


Topic 01		1351.7008231671448
	sim	46.76577214901921
	magic	39.309826743293854
	card	36.09689699731683
	format	34.71213305037232
	support	28.450036260738433
	set	28.14393845148185
	1.5	26.02662013764095
	hero	24.200156785792785
	settings	21.944567836562555
	setting	21.04071938284138
	line	20.35083682282165
	nokia	20.13767928351678
	saved	18.33033471809483
	handset	18.30205719225306
	ring	15.443992550990238
	calling	14.334904947902384
	present	14.079461902816597
	vodafone	13.785271505043294
	user	13.257900001196326
	write	11.87333969171168


Topic 02		1252.6574405519686
	default	61.43261393513421
	select	58.79336196132128
	address	50.61193623923362
	characters	31.85206011302293
	menu	31.810999609672727
	sprint	26.017747532699705
	ringtone	22.598219865497533
	hero	19.71115234144622
	1.5	18.036345351124744
	enter	16.474221483389094
	magic	15.436944014880703
	setting	15.368054317816556
	option	15.14124171351865
	device	14.942074284067454
	font	14.258453407967192
	character	13.562801508693187
	appears	13.396559114170525
	formats	10.927304982554897
	chinese	10.898325791491747
	people	10.517125722937383


Topic 03		1411.2243064448257
	time	136.74702462129892
	reset	37.44878549789264
	change	30.5304085441958
	timezone	26.992697945291173
	hero	25.694217991594677
	program	18.39692905033831
	widget	16.34119302224378
	zone	15.987246326765122
	day	15.531413002235983
	1.5	13.654765746612485
	hour	13.451767565127028
	days	12.991983079646172
	set	12.944614173106732
	sprint	12.93294216811423
	factory	12.239188477909053
	installed	11.495444553079889
	started	11.245224489121155
	hours	11.216666425228658
	user	11.195602936511193
	gmt	10.99766469498664


Topic 04		1394.8704755439912
	button	112.25255695544067
	search	102.23562903533912
	click	43.72505013539875
	press	43.70455831104522
	view	39.94253970407093
	position	26.43539381743618
	cursor	24.339581681567235
	line	24.269124952772415
	home	23.421596469110167
	menu	20.931001398399502
	finger	20.463158579362414
	pressing	18.706421403155872
	old	18.035385703061156
	reproduce	16.4499401086276
	key	14.922190831401041
	buttons	14.399645623948537
	edit	14.15617322766958
	item	13.944025528666192
	scroll	13.475847031913986
	long	13.39488006129788


Topic 05		1196.276074533082
	bluetooth	157.96061433519463
	headset	71.7948223042274
	car	49.2236488486902
	connect	34.2440022680172
	device	26.2575254569458
	sent	19.937713779078322
	audio	19.694980703200706
	connection	18.647425497859764
	connected	18.34797581823971
	connects	14.480298674989715
	radio	14.090928737112325
	stereo	13.429478943364305
	turn	13.184029672867384
	2.1	13.081573289247793
	spp	12.993599944499287
	samsung	12.037158620622371
	galaxy	10.629212055758504
	switch	10.393280366241164
	parrot	9.977249674134026
	devices	9.720558494572089


Topic 06		1191.32420929556
	battery	69.1541481395481
	power	26.07343823537656
	http	23.591297337147743
	usage	21.821101017547484
	rom	21.47942370049961
	nexus	20.811646024318616
	update	20.334307843740852
	stock	19.76965312821953
	install	16.285269081056953
	statistics	15.648612380062469
	process	15.45980002322044
	background	14.784480306144982
	htcq'es	14.755292336788825
	various	13.886934079785984
	time	13.414474646938796
	display	12.06177396374807
	cpu	11.725681090255607
	custom	10.982186504753752
	original	10.754395325586305
	boot	10.45252561627861


Topic 07		1114.06754128072
	app	87.46375301455124
	close	50.95080855151882
	message	36.4202942204911
	force	34.054758355999105
	mms	30.928027131584287
	2.2	29.345048969077823
	open	26.726660436196184
	crashes	21.88186533958794
	link	20.028314111200892
	process	18.228527687478017
	stopped	18.199312024237578
	messages	18.1352711950515
	vcard	16.956107831703253
	attached	13.671072980492108
	service	12.732343788602364
	evo	12.679429407504001
	froyo	11.093474520047822
	opens	11.051157099423646
	http	10.877455354493332
	messaging	10.805981769213119


Topic 08		1649.8267614528056
	version	209.2119646731655
	number	116.91848584927301
	build	83.34876934461909
	kernel	69.43189209315628
	software	64.77197861703954
	firmware	42.616168958805225
	2.2	39.248574138579585
	device	36.69136814495049
	htc-kernel	33.90315538617659
	model	30.66255130927356
	webkit	17.771379207439896
	3.1	17.35563385974853
	browser	16.88192684534943
	information	15.839652519999754
	2.1-update1	14.328214140415529
	country	13.231417292745654
	update	11.945491952747606
	carrier	11.60912544925282
	party	11.410441931576091
	mode	11.064269688653598


Topic 09		1032.4833721570217
	email	117.87224811246057
	mail	75.10126965185081
	gmail	52.89580863700187
	app	40.84517429103923
	inbox	27.19475353429063
	send	25.82228868424546
	emails	23.877663618683975
	message	20.805414362235965
	client	18.993213681337863
	e-mail	17.847052631015757
	read	14.952324679507303
	remove	14.928237020560566
	appear	14.73858416127666
	appears	14.715619849047426
	mails	12.82536869619283
	magic	12.546998288838044
	sending	8.332140349384197
	gtalk	8.068058478902978
	type	8.033520582805563
	outbox	7.990953987574015


Topic 10		1310.2154969888304
	google	221.01184532244136
	account	132.8892110766372
	device	36.61447690766185
	gmail	29.1879043956998
	talk	27.81893672302437
	calendar	26.271305810114107
	sync	21.64726975982719
	email	20.377948451981013
	birthdays	17.947320652307546
	birthday	16.931671119423896
	app	14.012263692312018
	factory	13.454381009531744
	reset	13.446764394863767
	invite	12.990572277600663
	create	12.228587051617355
	2.2	12.154875914923355
	services	11.813687081903904
	accounts	11.62523198027144
	hero	11.023316348007782
