,message,SIM_card,setting,time,UI,bluetooth,system,app,upgrade,email,synchronize,notification,memory,calling,message,wifi,network,input,contact,audio,image,display,browser,google_map,image,app,calendar,android_market,null,UI,keyboard,video,null,language,alarm
2010-11,0.0326243287091086,0.046572042614142786,0.026787990360002265,0.04370766277093802,-0.004575041228101993,0.043716355893509834,0.0035904304398255175,0.03327129509951265,0.02716942677778948,0.007584981602109678,0.0488981916855128,0.008597620876368823,0.018973746465146397,0.06908253195417897,0.07902549889829091,0.06266915967869309,0.006159723640264857,0.021071985128098204,0.046049251324662484,0.045003493292719875,0.015477009695398086,-0.0716264450323818,0.026827353305773707,0.030446169613220258,0.028619419183467106,0.016573508674501098,0.00731390480087304,0.13729782161379525,0.03552270060316481,0.01865839377577482,0.023751737340902232,0.02438802822340828,1.7380663789257062E-4,0.03233276889244057,0.00826314668899675,
2010-12,0.036885163529625065,0.009643301690330019,0.035183642926450584,0.037711087863654826,0.027956907122588092,0.0044903309847344405,0.02891841500023792,0.05152519029388962,0.04642069799925391,0.03612072108204635,0.01139380843695616,0.022595846835701427,0.024026524567612895,0.04283912871621571,0.04051766004912816,0.012351803625987737,0.005895368576864768,0.013228102788634125,0.018869116409110955,0.007389260152742805,0.02004116888449691,0.02157904510401673,0.039928579337983196,0.011861670934006117,0.04542273034743616,0.014638118714776873,0.2168778575052359,0.05384869152159639,0.07341963652367985,0.04718610376932621,0.05763387709578832,-0.15648476031906355,-0.008762955407579593,0.028490900569656846,0.02035725676687836,
2009-01,1.2975802468488968E-4,4.5780675139915625E-5,4.7516993007061515E-4,2.9621774903657137E-5,1.1301922059172762E-4,6.075314952046283E-5,0.07886748770152811,0.016496087159958244,-5.9934183132289124E-5,9.895962819601647E-5,4.402781210125246E-5,1.7004225346841712E-4,-2.5459384191778944E-5,5.70315551423553E-5,2.6191593635731334E-4,2.607968827087269E-4,0.35372167966859536,1.8254819630789603E-4,1.4531529375623757E-4,2.0776172872742074E-5,4.611111418250649E-5,2.3153626345356318E-5,0.028290042575724355,0.019862433110925892,0.3914737210547507,5.188277977650809E-4,3.982149579855584E-5,2.8731938005619622E-5,0.029561301067812257,1.686736966301118E-4,0.07864251017076998,1.6090599877270653E-4,1.8862258056486116E-5,4.5770951786258535E-5,2.3755674094281085E-5,
2010-10,0.046696425559954735,0.013472907218479125,0.014095979803370299,0.034212982382745415,0.026085841206409343,0.03695916320913083,0.02523122147595861,0.042449235803783625,0.022105129313476912,0.008595327660244312,0.026373970533478605,0.02222329893601478,0.016093886005553542,0.04594522016508793,0.03446211131693904,0.04341036528617957,0.0074006205659969656,0.005163226049144303,0.008679755753756907,0.04322459933846038,0.022557183920855036,0.018175718388753453,0.016979594619434595,0.04536698223742117,0.04603740603562205,0.01391547132512602,0.05328389140207976,0.08951785446863716,0.036022546999188665,0.0255079391831592,0.018098910206198124,0.016091404327124862,8.454931490271814E-4,0.03534450613360655,0.039373830019601035,
2009-09,0.005767889147071634,0.09074465174512591,0.022791605104595086,0.07497865859680705,0.016280374789648142,0.08501983791711464,0.01810027366685125,0.01210941493353434,0.006456285058718438,0.045646662970316366,0.031051098515692408,0.04055280255436344,0.012807376833623202,0.07724429209783232,0.08171680997733341,2.002421611572146E-4,3.0474481200872574E-4,0.004694629167514571,0.05738703540896763,0.0045915814884557,0.01345381154305016,0.026710594770695588,0.009220668996821503,0.0016997993006821963,0.049837680947944996,0.013414956561738259,0.027474110741197356,0.03537686783586982,0.01338955442659256,0.009008051305413258,0.05273934913020416,0.0077364890504997355,0.04372477373814934,0.002874721156388812,0.004892303548020728,
2009-08,0.007654810741985885,0.049020750017433376,0.020121152693193225,0.023502319921665613,0.009096642706543282,0.04220202192085156,0.023318606711326514,0.01784181171420363,0.022062321512112598,0.060060725768191416,0.026906417736329118,0.014588119384359617,0.03065539445957102,0.02313532918913791,0.05883325695948036,0.07230566656297518,0.008960491190437157,0.0013401443930341473,0.048506543509476564,0.006614399308252575,0.012012014612125957,0.021416889227994323,0.049315305892021356,0.013835673110584264,0.012766747316812021,0.03131129836752631,0.029911149626370055,0.014261317251385184,0.0028610321733467834,0.017600905591901084,0.07580078959526032,-2.556973150340514E-4,0.008546324288136944,0.0024856806476338043,0.14140364321337487,
2009-07,0.002956356140193107,0.05779769826076486,0.032543011280503596,0.023976189881221202,0.003933768807859257,0.04313693151621796,0.006302718848174192,0.038676112866592324,0.04302244524437519,0.047219765656297104,0.042313086718672,0.015110817995489138,0.001793844136899642,0.003444430049249619,0.007505003207119805,0.0606552622771496,0.04497065656649277,0.01624119643540884,5.319780826651383E-5,0.03759759939333424,0.05780783368226122,0.08483355940514115,0.005325932174256402,0.005033815489259684,0.04080421266696806,0.01398987948080376,0.0070744153160392075,0.03656059406910478,0.013252510587114737,0.02466527303877368,0.004678122337781214,0.0618708248641273,0.03556697753549315,0.023918461119028844,0.0553674951435658,
2009-06,0.007449657622565462,0.0992907527462547,0.044748388029522364,0.03855882946749273,0.029693200380704554,0.0321305519733296,0.00920662940710077,0.004393536079392422,0.010729185297533509,0.08937473188361758,0.0014757031610055811,0.023309688844799368,5.79662858496044E-5,0.037395072283270415,0.03822217590694423,0.04932628582331062,0.010710708580102547,0.0040870624479656245,0.0337161814228708,0.038677360805526875,0.10424688069609653,0.024874958092130205,0.07461512776599824,4.989882973002019E-4,0.006381086155535132,0.031418971335281105,0.012700113649947619,1.5940414142440702E-4,0.010054724477645863,-0.0010184197811818753,0.06459323727040996,0.0012793687832781953,0.026103743027476957,0.03263350657747908,0.008904641062019032,
2009-05,0.0010267938706737248,0.15575036247211507,0.05911968207563092,0.016223701532646427,0.10447447791670667,0.0016411222106691348,0.00652776621715497,0.005618403870284953,0.046196245010931336,0.02496809672620649,0.0042023668665050464,1.7744954621621615E-4,0.012420864728279529,0.009403775645793916,0.09172595952629355,0.0739145793611403,2.762431770200228E-4,9.315669453208289E-5,1.66523075370853E-4,0.058999493844094635,0.006279707664929665,2.5857587133928058E-5,0.008279328847559383,0.08654649184621752,0.03153697975407697,0.012426006198669222,0.012264680215421585,9.91613421886011E-5,0.011543600460391929,1.2377563535188573E-4,0.021495695182182566,0.054680189533470897,3.209342165202437E-5,0.020873759247287037,0.06086560869520105,
2009-04,5.971554053634658E-6,0.10293205045725104,-0.16737200130500474,0.011803566623960458,0.09988496364016108,0.028440869073109963,1.3521472811292096E-4,2.150968241839708E-5,0.029072195774717684,-5.8626213397975835E-5,8.44188764845703E-5,0.09071234972602914,0.16698733140194585,-4.363705080127621E-6,1.594569768296852E-5,0.014606884992154961,0.023565991449557212,0.004339846416723846,1.1658394573178107E-4,0.05157806071417938,1.9499214294917905E-5,-1.1095938281333792E-4,7.965001338452007E-4,0.35988410439101065,0.05122351751891182,3.1483213748861354E-5,0.04913459743879296,0.04883103586885999,0.02311734618771034,1.1938234751486332E-4,-0.0014842265723738503,1.6997433677268858E-4,-0.0036943801988310473,0.015096422866329479,-3.0608945654460068E-6,
