3509,0,1,,,,,,,,,,
3419,1,1,,,,,,,,,,
5327,2,1,,,,,,,,,,
5548,0,1,,,,,,,,,,
5724,3,1,,,,,,,,,,
5159,4,1,,,,,,,,,,
3761,3,1,,,,,,,,,,
3439,2,1,,,,,,,,,,
4357,5,1,,,,,,,,,,
3361,6,1,,,,,,,,,,
2517,6,1,,,,,,,,,,
4997,7,1,,,,,,,,,,
3380,8,1,,,,,,,,,,
4245,9,1,,,,,,,,,,
5695,3,1,,,,,,,,,,
2587,6,1,,,,,,,,,,
3542,3,1,,,,,,,,,,
4207,9,1,,,,,,,,,,
2992,0,1,,,,,,,,,,
2946,10,1,,,,,,,,,,
4271,11,1,,,,,,,,,,
5202,10,1,,,,,,,,,,
2749,1,1,,,,,,,,,,
5061,0,1,,,,,,,,,,
4327,12,1,,,,,,,,,,
3806,13,1,,,,,,,,,,
4130,0,1,,,,,,,,,,
2534,14,1,,,,,,,,,,
5656,9,1,,,,,,,,,,
5073,6,1,,,,,,,,,,
3836,0,1,,,,,,,,,,
4323,14,1,,,,,,,,,,
3260,15,1,,,,,,,,,,
5544,0,1,,,,,,,,,,
4811,12,1,,,,,,,,,,
5457,0,1,,,,,,,,,,
3279,16,1,,,,,,,,,,
3479,12,1,,,,,,,,,,
3472,14,1,,,,,,,,,,
3932,2,1,,,,,,,,,,
3298,15,1,,,,,,,,,,
5229,17,1,,,,,,,,,,
3708,18,1,,,,,,,,,,
5242,9,1,,,,,,,,,,
4152,19,1,,,,,,,,,,
4639,0,1,,,,,,,,,,
4556,12,1,,,,,,,,,,
2678,14,1,,,,,,,,,,
2831,12,1,,,,,,,,,,
5694,0,1,,,,,,,,,,
4330,15,1,,,,,,,,,,
4124,14,1,,,,,,,,,,
3342,1,1,,,,,,,,,,
3984,9,1,,,,,,,,,,
4223,20,1,,,,,,,,,,
2899,3,1,,,,,,,,,,
3138,2,1,,,,,,,,,,
2844,21,1,,,,,,,,,,
3575,18,1,,,,,,,,,,
